###############################################################################
# Self-published geofeed as defined in datatracker.ietf.org/doc/html/rfc8805
# published at Apr 26, 2025 11:05:06 PM UTC
# published by kezod.xyz - Kezod Technologies
###############################################################################

69.164.194.0/24,US,US-TX,Richardson,
69.164.195.0/24,US,US-TX,Richardson,
69.164.196.0/24,US,US-TX,Richardson,
69.164.197.0/24,US,US-TX,Richardson,
69.164.198.0/24,US,US-TX,Richardson,
69.164.199.0/24,US,US-TX,Richardson,
69.164.201.0/24,US,US-TX,Richardson,
69.164.202.0/24,US,US-TX,Richardson,
69.164.203.0/24,US,US-TX,Richardson,
69.164.204.0/24,US,US-TX,Richardson,
69.164.205.0/24,US,US-TX,Richardson,
69.164.206.0/24,US,US-TX,Richardson,
69.164.207.0/24,US,US-TX,Richardson,
173.255.192.0/24,US,US-TX,Richardson,
173.255.193.0/24,US,US-TX,Richardson,
173.255.194.0/24,US,US-TX,Richardson,
173.255.195.0/24,US,US-TX,Richardson,
173.255.196.0/24,US,US-TX,Richardson,
173.255.197.0/24,US,US-TX,Richardson,
173.255.198.0/24,US,US-TX,Richardson,
173.255.199.0/24,US,US-TX,Richardson,
173.255.200.0/24,US,US-TX,Richardson,
173.255.201.0/24,US,US-TX,Richardson,
173.255.202.0/24,US,US-TX,Richardson,
173.255.203.0/24,US,US-TX,Richardson,
173.255.204.0/24,US,US-TX,Richardson,
173.255.205.0/24,US,US-TX,Richardson,
173.255.206.0/24,US,US-TX,Richardson,
66.228.48.0/24,US,US-TX,Richardson,
66.228.49.0/24,US,US-TX,Richardson,
66.228.50.0/24,US,US-TX,Richardson,
66.228.51.0/24,US,US-TX,Richardson,
66.228.52.0/24,US,US-TX,Richardson,
66.228.53.0/24,US,US-TX,Richardson,
66.228.54.0/24,US,US-TX,Richardson,
66.228.55.0/24,US,US-TX,Richardson,
96.126.112.0/24,US,US-TX,Richardson,
96.126.113.0/24,US,US-TX,Richardson,
96.126.114.0/24,US,US-TX,Richardson,
96.126.115.0/24,US,US-TX,Richardson,
96.126.116.0/24,US,US-TX,Richardson,
96.126.117.0/24,US,US-TX,Richardson,
96.126.118.0/24,US,US-TX,Richardson,
96.126.119.0/24,US,US-TX,Richardson,
96.126.120.0/24,US,US-TX,Richardson,
96.126.121.0/24,US,US-TX,Richardson,
96.126.122.0/24,US,US-TX,Richardson,
96.126.123.0/24,US,US-TX,Richardson,
96.126.124.0/24,US,US-TX,Richardson,
96.126.125.0/24,US,US-TX,Richardson,
96.126.126.0/24,US,US-TX,Richardson,
96.126.127.0/24,US,US-TX,Richardson,
50.116.16.0/24,US,US-TX,Richardson,
50.116.17.0/24,US,US-TX,Richardson,
50.116.18.0/24,US,US-TX,Richardson,
50.116.19.0/24,US,US-TX,Richardson,
50.116.20.0/24,US,US-TX,Richardson,
50.116.21.0/24,US,US-TX,Richardson,
50.116.22.0/24,US,US-TX,Richardson,
50.116.23.0/24,US,US-TX,Richardson,
50.116.24.0/24,US,US-TX,Richardson,
50.116.25.0/24,US,US-TX,Richardson,
50.116.26.0/24,US,US-TX,Richardson,
50.116.27.0/24,US,US-TX,Richardson,
50.116.28.0/24,US,US-TX,Richardson,
50.116.29.0/24,US,US-TX,Richardson,
50.116.30.0/24,US,US-TX,Richardson,
